Balard
Lourmel
Boucicaut
Félix Faure
Commerce
La Motte-Picquet-Grenelle
École Militaire
La Tour-Maubourg
Invalides
Concorde
Madeleine
Opéra
Richelieu - Drouot
Grands Boulevards
Bonne Nouvelle
Strasbourg - Saint-Denis
République
Filles du Calvaire
Saint-Sébastien - Froissart
Chemin Vert
Bastille
Ledru-Rollin
Faidherbe - Chaligny
Reuilly - Diderot
Montgallet
Daumesnil
Michel Bizot
Porte Dorée
Porte de Charenton
Liberté
Charenton - Schools
Maisons-Alfort - École Vétérinaire
Maisons-Alfort - Stade
Maisons-Alfort - Les Juilliottes
Créteil - L'Échat - Hôpital Henri Mondor
Créteil - Université
Créteil - Préfecture - Hôtel de Ville
Créteil - Pointe du Lac
