status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;impact_id;messages;updated_at;impacted_objects;id;cause
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220509T000000;20220815T235900;6f70be48-ceb1-11ec-8aab-005056a44da2;" / Transdev STBC - Lignes 1,5, 7s et 9s / <p><div class=""fckcontainer""><br><p>En raison de travaux Avenue des Sciences, les arr&ecirc;ts suivants ne seront pas desservis:</p><br><div>Claude Bernard et Cassini : sur les lignes 1 (direction Gare de Chelles), 5 (direction Gare de Lagny-Thorigny), 7s (direction Cit&eacute; Scolaire) et 9s (direction Debussy).</div><br><div>Coll&egrave;ge Corot (Rue Claude Bernard): Ligne 7s dans les deux sens de circulation,</div><br><div>&nbsp;</div><br><div>Du 9 mai 2022 au 15 ao&ucirc;t 2022 de d&eacute;but &agrave; fin de service.</div><br><div>&nbsp;</div><br><div><br><div>Merci de vous reporter &agrave; l&rsquo;arr&ecirc;t Coll&egrave;ge Corot de la ligne 7 pour les lignes 1, 5 et 9s et &agrave; l&rsquo;arr&ecirc;t Pasteur pour la ligne 7s.</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br><div>&nbsp;</div><br></div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-1-apolo_7_101'>En savoir plus sur cette information.</a></p> / Transdev STBC - Lignes 1,5, 7s et 9s / <p><div class=""fckcontainer""><br><p>En raison de travaux Avenue des Sciences, les arr&ecirc;ts suivants ne seront pas desservis:</p><br><div>Claude Bernard et Cassini : sur les lignes 1 (direction Gare de Chelles), 5 (direction Gare de Lagny-Thorigny), 7s (direction Cit&eacute; Scolaire) et 9s (direction Debussy).</div><br><div>Coll&egrave;ge Corot (Rue Claude Bernard): Ligne 7s dans les deux sens de circulation,</div><br><div>&nbsp;</div><br><div>Du 9 mai 2022 au 15 ao&ucirc;t 2022 de d&eacute;but &agrave; fin de service.</div><br><div>&nbsp;</div><br><div><br><div>Merci de vous reporter &agrave; l&rsquo;arr&ecirc;t Coll&egrave;ge Corot de la ligne 7 pour les lignes 1, 5 et 9s et &agrave; l&rsquo;arr&ecirc;t Pasteur pour la ligne 7s.</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br><div>&nbsp;</div><br></div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-1-apolo_7_101'>En savoir plus sur cette information.</a></p>";20220508T113001;Apolo 7 Bus 1;6f70be48-ceb1-11ec-8aab-005056a44da2;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220509T000000;20220815T235900;6f828722-ceb1-11ec-8456-005056a47b86;" / Transdev STBC - Lignes 1,5, 7s et 9s - Sciences / <p><div class=""fckcontainer""><br><div>En raison de travaux Avenue des Sciences, les arr&ecirc;ts suivants ne seront pas desservis:</div><br><div>&nbsp;</div><br><div>Claude Bernard et Cassini : sur les lignes 1 (direction Gare de Chelles), 5 (direction Gare de Lagny-Thorigny), 7s (direction Cit&eacute; Scolaire) et 9s (direction Debussy).</div><br><div>Coll&egrave;ge Corot (Rue Claude Bernard): Ligne 7s dans les deux sens de circulation,</div><br><div>&nbsp;</div><br><div>Du 9 mai 2022 au 15 ao&ucirc;t 2022 de d&eacute;but &agrave; fin de service.</div><br><div>&nbsp;</div><br><div>Merci de vous reporter &agrave; l&rsquo;arr&ecirc;t Coll&egrave;ge Corot de la ligne 7 pour les lignes 1, 5 et 9s et &agrave; l&rsquo;arr&ecirc;t Pasteur pour la ligne 7s.</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-1-apolo_7_101'>En savoir plus sur cette information.</a></p> / Transdev STBC - Lignes 1,5, 7s et 9s - Sciences / <p><div class=""fckcontainer""><br><div>En raison de travaux Avenue des Sciences, les arr&ecirc;ts suivants ne seront pas desservis:</div><br><div>&nbsp;</div><br><div>Claude Bernard et Cassini : sur les lignes 1 (direction Gare de Chelles), 5 (direction Gare de Lagny-Thorigny), 7s (direction Cit&eacute; Scolaire) et 9s (direction Debussy).</div><br><div>Coll&egrave;ge Corot (Rue Claude Bernard): Ligne 7s dans les deux sens de circulation,</div><br><div>&nbsp;</div><br><div>Du 9 mai 2022 au 15 ao&ucirc;t 2022 de d&eacute;but &agrave; fin de service.</div><br><div>&nbsp;</div><br><div>Merci de vous reporter &agrave; l&rsquo;arr&ecirc;t Coll&egrave;ge Corot de la ligne 7 pour les lignes 1, 5 et 9s et &agrave; l&rsquo;arr&ecirc;t Pasteur pour la ligne 7s.</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-1-apolo_7_101'>En savoir plus sur cette information.</a></p>";20220508T113001;Apolo 7 Bus 1;6f828722-ceb1-11ec-8456-005056a47b86;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220531T000000;20220731T235900;17100c24-e0de-11ec-a58a-005056a47b86;" / Transdev STBC - Ligne 8 / <p><div class=""fckcontainer""><br><p>&nbsp;Suite aux travaux de r&eacute;fection des trottoirs Avenue du G&eacute;n&eacute;ral de Gaulle,</p><br><div>&nbsp;</div><br><div>L&rsquo;arr&ecirc;t Sylvie ne sera pas desservi en direction Gare de Chelles :</div><br><div>&nbsp;</div><br><div>&nbsp;</div><br><div>Veuillez vous reporter&agrave; l'arr&ecirc;t Vieux Moulin</div><br><div>&nbsp;</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-8-apolo_7_101'>En savoir plus sur cette information.</a></p> / Transdev STBC - Ligne 8 / <p><div class=""fckcontainer""><br><p>&nbsp;Suite aux travaux de r&eacute;fection des trottoirs Avenue du G&eacute;n&eacute;ral de Gaulle,</p><br><div>&nbsp;</div><br><div>L&rsquo;arr&ecirc;t Sylvie ne sera pas desservi en direction Gare de Chelles :</div><br><div>&nbsp;</div><br><div>&nbsp;</div><br><div>Veuillez vous reporter&agrave; l'arr&ecirc;t Vieux Moulin</div><br><div>&nbsp;</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-8-apolo_7_101'>En savoir plus sur cette information.</a></p>";20220531T143501;Apolo 7 Bus 8;17100c24-e0de-11ec-a58a-005056a47b86;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220603T050000;20221002T230000;7afb259c-e17a-11ec-a58a-005056a47b86; / Arrêt Polytechnique Vauve non desservi / <p>En raison de travaux, du vendredi 3 juin au dimanche 2 octobre 2022, l'arrêt Polytechnique Vauve ne sera pas desservi dans les deux sens de circulation.</p><p>Nous vous invitons à vous rendre à l'arrêt FRESNEL.</p> / <p>En raison de travaux, du vendredi 3 juin au dimanche 2 octobre 2022, l'arrêt Polytechnique Vauve ne sera pas desservi dans les deux sens de circulation.</p><p>Nous vous invitons à vous rendre à l'arrêt FRESNEL.</p>;20220601T091430;Albatrans Bus 91-08;7afb259c-e17a-11ec-a58a-005056a47b86;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220613T050000;20220719T230000;ad65f93c-e88f-11ec-ab34-005056a47b86;" / Fermeture Rue Noetzlin / Sophie Germain / Déplacement arrêt / <p>Du lundi 13 juillet au mardi 19 juillet 2022, en raison d'une fermeture de la rue Noetzlin / Sophie Germain, l'arrêt ""Université Paris Saclay"" sera déplacé dans les deux sens de circulation sur l'arrêt ""Plateau de Moulon"" de la ligne 7.</p> / <p>Du lundi 13 juillet au mardi 19 juillet 2022, en raison d'une fermeture de la rue Noetzlin / Sophie Germain, l'arrêt ""Université Paris Saclay"" sera déplacé dans les deux sens de circulation sur l'arrêt ""Plateau de Moulon"" de la ligne 7.</p>";20220610T093353;Albatrans Bus 91-08;ad65f93c-e88f-11ec-ab34-005056a47b86;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220620T050000;20220729T230000;ac95f998-ec82-11ec-a6da-005056a44da2; / Travaux A10 / Réfection d'étanchéité / <p>FORTE PERTURBATION sur vos lignes du lundi 20 juin au vendredi 29 juillet 2022. Une déviation sera mise en place sur vos lignes entrainant un changement d'itinéraire.</p><p>Nous vous invitons à vous rendre sur notre site internet Albatrans.net ou sur notre compte Twitter pour plus d'informations.</p> / <p>FORTE PERTURBATION sur vos lignes du lundi 20 juin au vendredi 29 juillet 2022. Une déviation sera mise en place sur vos lignes entrainant un changement d'itinéraire.</p><p>Nous vous invitons à vous rendre sur notre site internet Albatrans.net ou sur notre compte Twitter pour plus d'informations.</p>;20220624T112052;Albatrans Bus 91-03;ac95f998-ec82-11ec-a6da-005056a44da2;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220629T050000;20220816T230000;52d9d35e-f3b5-11ec-9e43-005056a47b86;" / FERME DE LA VAUVE NON DESSERVI / <p>Du mercredi 29 juin au mardi 16 août 2022, en raison de travaux sur l'avenue de la Vauve. L'arrêt ""FERME DE LA VAUVE"" ne sera pas desservi dans les deux sens de circulation.</p><p>Veuillez nous excuser pour la gêne occasionnée.</p> / <p>Du mercredi 29 juin au mardi 16 août 2022, en raison de travaux sur l'avenue de la Vauve. L'arrêt ""FERME DE LA VAUVE"" ne sera pas desservi dans les deux sens de circulation.</p><p>Veuillez nous excuser pour la gêne occasionnée.</p>";20220624T140104;Albatrans Bus 91-10;52d9d35e-f3b5-11ec-9e43-005056a47b86;perturbation
future;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220718T050000;20220819T230000;9467fed4-00eb-11ed-a64b-005056a47b86; / Travaux Yerres / Déplacement arrêt / <p>Du lundi 18 juillet 2022 au vendredi 19 août 2022, en raison de travaux à Yerres, l'arrêt Gambetta en direction de Yerres sera reporté en face de l'arrêt Gambette en direction d'Evry.</p><p>Toutes nos excuses pour la gêne occasionnée.</p> / <p>Du lundi 18 juillet 2022 au vendredi 19 août 2022, en raison de travaux à Yerres, l'arrêt Gambetta en direction de Yerres sera reporté en face de l'arrêt Gambette en direction d'Evry.</p><p>Toutes nos excuses pour la gêne occasionnée.</p>;20220711T093212;Albatrans Bus 91-09;9467fed4-00eb-11ed-a64b-005056a47b86;perturbation
future;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220718T220000;20220801T050000;b530417e-01c9-11ed-98b1-005056a47b86;" / Travaux Avenue de l'Europe / Arrêt non desservi / <p>Dans les nuits du lundi 18 juillet 2022 au lundi 1 er août 2022 de 22h00 à 5h00, l'arrêt ""Avenue de l'Europe - Centre Commercial"" ne sera pas desservi dans les deux sens de circulation à cause de travaux sur l'Avenue de l'Europe.</p><p>Nous nous excusons pour la gêne occasionnée.</p> / <p>Dans les nuits du lundi 18 juillet 2022 au lundi 1 er août 2022 de 22h00 à 5h00, l'arrêt ""Avenue de l'Europe - Centre Commercial"" ne sera pas desservi dans les deux sens de circulation à cause de travaux sur l'Avenue de l'Europe.</p><p>Nous nous excusons pour la gêne occasionnée.</p>";20220712T120215;Albatrans Bus 91-10;b530417e-01c9-11ed-98b1-005056a47b86;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220712T000000;20220901T235900;11f7ffd8-01d8-11ed-832f-005056a44da2;" / Transdev STBC - Ligne 8 / <p><div class=""fckcontainer""><br><div>En raison de travaux Avenue du G&eacute;n&eacute;ral de Gaulle :</div><br><div>&nbsp;&nbsp;</div><br><div>Des retards sont &agrave; pr&eacute;voir sur votre ligne jusqu'au 01 septembre 2022</div><br><div>&nbsp; &nbsp;&nbsp;</div><br><div>Merci d'anticiper vos d&eacute;placements.</div><br><div>&nbsp;</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-8-apolo_7_101'>En savoir plus sur cette information.</a></p> / Transdev STBC - Ligne 8 / <p><div class=""fckcontainer""><br><div>En raison de travaux Avenue du G&eacute;n&eacute;ral de Gaulle :</div><br><div>&nbsp;&nbsp;</div><br><div>Des retards sont &agrave; pr&eacute;voir sur votre ligne jusqu'au 01 septembre 2022</div><br><div>&nbsp; &nbsp;&nbsp;</div><br><div>Merci d'anticiper vos d&eacute;placements.</div><br><div>&nbsp;</div><br><div>Nous vous prions de bien vouloir nous excuser pour la g&ecirc;ne occasionn&eacute;e.&nbsp;</div><br></div><a href='https://www.transdev-idf.com/horaire-ligne-8-apolo_7_101'>En savoir plus sur cette information.</a></p>";20220712T134504;Apolo 7 Bus 8;11f7ffd8-01d8-11ed-832f-005056a44da2;perturbation
