status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;duration;cause;line;station
future;Incidents;0;bloquante;NO_SERVICE;20220909T030000;20220910T004500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220909T030000;20220910T004500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220907T030000;20220907T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220907T030000;20220907T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220906T030000;20220906T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220906T030000;20220906T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220905T000000;20220905T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220905T000000;20220905T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220903T000000;20220904T004500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220903T000000;20220904T004500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220902T030000;20220903T004500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220902T030000;20220903T004500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220901T030000;20220901T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220901T030000;20220901T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220831T030000;20220831T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220831T030000;20220831T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220830T030000;20220830T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220830T030000;20220830T230000;0;travaux;4;Porte de Clignancourt
