'Ablon' 
'Arpajon' 
'Athis-Mons' 
'Avenue du Président Kennedy Maison de Radio France' 
'Avenue Foch' 
'Avenue Henri Martin' 
'Bibliothèque François Mitterrand' 
'Bièvres' 
'Boulainvilliers' 
'Bouray' 
'Brétigny' 
'Breuillet - Bruyères-le-Châtel' 
'Breuillet Village' 
'Cernay' 
'Chamarande' 
'Champ de Mars Tour Eiffel' 
'Chaville - Vélizy' 
"Chemin d'Antony" 
'Chilly-Mazarin' 
'Choisy-le-Roi' 
'Dourdan' 
'Dourdan la Forêt' 
'Égly' 
'Épinay-sur-Orge' 
'Épinay-sur-Seine'
