'Bellevue' 
'Chaville Rive Gauche' 
'Clamart' 
'Coignières' 
'Dreux' 
'Fontenay-le-Fleury' 
'Garancières - la Queue' 
'Gare Montparnasse' 
'Houdan' 
'La Verrière' 
'Le Perray' 
'Les Essarts-le-Roi' 
'Marchezais - Broué' 
'Meudon' 
"Montfort-l'Amaury - Méré" 
'Orgerus - Béhoust' 
'Plaisir - Grignon' 
'Plaisir - les Clayes' 
'Rambouillet' 
'Saint-Cyr' 
'Saint-Quentin en Yvelines - Montigny-le-Bretonneux' 
'Sèvres Rive Gauche' 
'Tacoignières - Richebourg' 
'Trappes' 
'Vanves - Malakoff'
