x,y
819,332
800,333
799,348
800,385
799,397
698,396
662,398
628,397
629,402
628,427
628,454
629,501
629,546
615,547
553,547
510,547
510,571
511,579
443,650
441,684
443,731
443,787
445,790
470,816
501,847
527,872
554,900
581,928
583,939
583,962
564,961
505,963
491,974
458,1010
427,1040
398,1070
372,1093
323,1144
298,1169
