x,y
662,349
682,369
_
699,396
699,422
_
733,462
_
786,483
_
793,532
763,565
_
749,619
_
720,692
_
677,698
677,722
676,747
_
658,784
_
641,829
_
631,850
580,851
_
566,884
566,925
566,969
602,969
_
634,983
_
649,1007
650,1046
_
630,1090
613,1106
613,1139
613,1169
613,1195
