x,y
316,612
_
285,654
247,692
_
243,744
_
248,810
283,844
314,876
_
357,910
_
415,925
447,957
_
491,975
553,975
580,976
_
628,988
654,1011
676,1035
_
709,1051
747,1051
772,1049
819,1051
859,1052
_
899,1033
940,989
968,964
996,934
1020,911
1042,889
_
1002,843
