x,y
560,284
457,286
453,291
452,364
453,382
407,429
422,444
490,513
488,572
490,608
449,653
448,684
449,692
543,690
574,692
620,738
676,737
691,739
867,917
941,989
969,1019
958,1031
933,1053
912,1077
874,1077
