x,y
120,1107
142,1088
162,1068
_
181,1041
181,1010
181,977
181,945
181,898
181,847
181,797
_
192,745
243,743
295,744
_
350,721
391,680
430,641
452,617
473,597
_
_
519,616
574,616
608,615
654,616
716,617
748,615
_
832,640
856,666
915,726
938,750
960,771
982,793
1017,826
_
1049,808
1066,791
1083,773
1101,757
1119,739
1136,723
