x,y
1132,367
1100,398
1078,420
1060,438
1046,439
1002,438
957,438
944,439
923,460
897,485
890,491
866,469
860,462
800,463
798,482
798,531
799,561
812,573
813,590
813,614
835,637
859,660
904,707
879,733
852,760
825,788
824,798
824,886
824,947
825,979
825,987
805,1006
780,1032
780,1051
