'Allée de la Tour-Rendez-Vous' 
'Arboretum' 
'Aulnay-sous-Bois' 
'Bondy' 
'Clichy - Montfermeil' 
'Clichy-sous-Bois - Mairie' 
'Freinville Sevran' 
'Gargan' 
'Hôpital de Montfermeil' 
"L'Abbaye" 
'Léon Blum' 
'Les Coquetiers' 
'Les Pavillons-sous-Bois' 
'Lycée Henri Sellier' 

'Maurice Audin' 
'Notre-Dame des Anges' 
'Remise à Jorelle' 
'République - Marx Dormoy' 
'Romain Rolland' 
'Rougemont Chanteloup'
