status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;impact_id;messages;updated_at;impacted_objects;id;cause
future;Incidents;0;bloquante;NO_SERVICE;20220713T210000;20220714T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220715T210000;20220716T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220518T210000;20220519T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220520T210000;20220521T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220628T210000;20220629T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220622T210000;20220623T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220613T210000;20220614T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220610T210000;20220611T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220606T210000;20220607T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
future;Incidents;0;bloquante;NO_SERVICE;20220609T210000;20220610T020000;772a7576-e0c1-11ec-a6b6-005056a47b86;" / Ligne T4 : du 16/05 au 15/07 / <p>Période : à partir de 21h00 jusqu'en fin de soirée<br>Dates : du lundi 16 mai au vendredi 15 juillet, sauf les week-ends<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220516-T4-16maiau15juillet.pdf "" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif :  travaux.</p> / Ligne T4 : du 16/05 au 15/07";20220531T111007;Transilien Tramway T4;772a7576-e0c1-11ec-a6b6-005056a47b86;travaux
